label,ID
0,31964843
0,27734943
0,29738522
0,32368696
0,31345219
0,30276537
0,33077954
0,31785789
0,34183866
1,24463507
0,32641753
0,31175295
0,28714951
0,32574564
0,32402279
0,34847081
0,33225392
0,33756069
0,24951643
0,22205389
0,27378695
0,28384719
0,35670010
1,28008999
1,29346770
1,35002215
1,27525107
1,31167812
1,29258548
1,32271162
1,31069529
1,33820833
1,33059315
1,31730230
1,35716026
1,34853893
1,32221959
1,19631309
0,30833958
0,32140910
1,34354735
0,16329997
0,32853466
0,23897980
0,21743468
1,35013161
0,29931299
0,32821428
1,28649518
1,31614862
1,23664118
1,35726512
1,23664117
1,32761602
1,33631843
1,34529350
0,34159694
1,29443383
1,30609409
0,28229453
0,35734427
0,27457812
1,31130284
0,34662886
0,25179167
0,19559618
1,30924900
1,21422378
1,32900645
0,28707430
1,32600061
1,29276006
1,35137569
1,25817016
1,35047859
1,25817014
1,33048444
1,26924530
1,33496066
1,31502745
1,27714636
1,32564284
1,33459760
1,33559681
1,33015062
1,33756103
1,30143558
1,27640307
1,33845882
1,29053797
0,35012852
1,34000440
1,36061954
1,31727539
1,32719394
1,32933822
1,33023636
1,34445196
1,29915382
0,28013292
0,34905512
0,28133863
0,33711669
0,31321674
0,17177267
0,28087732
0,32918542
0,34646230
0,32345733
1,29174093
0,27759915
1,27108799
1,32555313
1,28431867
1,25156961
1,15115768
1,29924869
1,34633442
1,33142350
1,28600779
1,33391346
1,32978145
1,27146836
1,23023332
0,24736733
0,23103230
0,33436942
0,30675029
0,30883014
1,34177429
1,29168297
0,31980905
1,35032046
1,33824467
1,29543232
1,32170002
1,32123317
0,31322791
0,28512736
0,31981491
0,28007035
0,27230853
0,20695019
0,28320181
0,21031596
0,9683594
1,15542397
1,31589614
1,28784167
1,19127411
1,30640048
1,25179809
1,10862081
1,34234304
1,28135719
1,30585370
1,31328417
1,26689913
1,24863034
1,30847666
1,29447731
1,32746448
1,33082984
1,32880476
1,31983221
0,34350506
0,32041989
0,29367541
0,31965688
0,33719213
1,31965297
0,35893073
1,34540771
1,32183154
1,26350513
0,28798025
1,28416588
0,32233023
1,33500567
1,29016939
1,31629629
1,33026655
1,25363768
1,33693649
1,14732927
1,34135078
1,34077761
1,35020242
1,28191890
1,33504652
1,26477546
1,31980526
1,31625690
1,32173538
1,24853937
1,32581362
1,27004616
1,29801666
0,30586318
1,23167750
1,31844813
0,26489029
1,34675960
1,33323469
1,36090483
0,24154662
1,26673778
1,17855640
1,32865313
1,33726816
1,35835773
1,28808027
1,33448881
1,22550138
1,12244321
1,15776426
0,35836572
0,32203225
0,23188109
0,34448047
0,33512896
0,33712733
0,23559409
0,34295353
0,32783370
0,30120289
0,32859249
1,34216551
1,24257694
1,34269512
1,29554876
0,33944996
1,25420024
1,35190550
1,32469048
1,30542207
0,24973560
1,21822266
1,34582790
1,30344259
0,31677115
1,30622556
1,26969326
1,30733538
1,31486067
1,30896630
1,18973245
1,15286153
1,27573290
1,32747562
0,29572253
0,26445815
0,33297549
0,30303587
